"name","id","lat","lon","cumulative_revenue","design_capacity","fee_effective_date","rates","location","capital_cost","project_type","date_fee_notification","date_commercial_operation","fee_rule","concessions_period","traffic_per_day","target_traffic_per_day","contractor_name","contact_details"
"Sendurwafa",146,21.088119,80.032855,309.4,"42000","01-09-2019","{""car_single"":null,""car_multi"":120,""car_monthly"":2425,""lcv_single"":null,""lcv_multi"":210,""lcv_monthly"":4240,""bus_multi"":425,""bus_monthly"":8480,""multiaxle_single"":455,""multiaxle_multi"":680,""multiaxle_monthly"":13630,""hcm_single"":455,""hcm_multi"":680,""hcm_monthly"":13630,""four_six_axle_single"":455,""four_six_axle_multi"":680,""four_six_axle_monthly"":13630,""seven_plus_axle_single"":455,""seven_plus_axle_multi"":680,""seven_plus_axle_monthly"":13630}","<b style='color:#22A7EA'>Sendurwafa</b><br/><b> </b> M/s Ashoka Highways (Bhandara) Ltd","424.00","BOT (Toll)","28-09-2010","21-10-2010","1997","15.03.2008-14.03.2028",19575,23050,"M/s Ashoka Highways (Bhandara) Ltd","Mr Dhiraj Dixit / 8308824392"
"Shirpur",147,21.319718,74.889291,600.18,"60000","01-04-2020","{""car_single"":null,""car_multi"":160,""car_monthly"":3540,""lcv_single"":null,""lcv_multi"":250,""lcv_monthly"":5515,""bus_multi"":510,""bus_monthly"":11310,""multiaxle_single"":520,""multiaxle_multi"":780,""multiaxle_monthly"":17325,""hcm_single"":520,""hcm_multi"":780,""hcm_monthly"":17325,""four_six_axle_single"":520,""four_six_axle_multi"":780,""four_six_axle_monthly"":17325,""seven_plus_axle_single"":660,""seven_plus_axle_multi"":995,""seven_plus_axle_monthly"":22065}","<b style='color:#22A7EA'>Shirpur</b><br/><b> </b> M/s Dhule Palesner Tollway Ltd","1420.00","BOT (Toll)","08-09-2011","11-02-2012","2008","21.12.2009-20.12.2027",31750,37000,"M/s Dhule Palesner Tollway Ltd","Mr Justin / 8087495922"
"Gondhkhairi/ Kondhali",148,21.137001,78.89666,129.02,"NA","01-09-2019","{""car_single"":null,""car_multi"":70,""car_monthly"":1360,""lcv_single"":null,""lcv_multi"":120,""lcv_monthly"":2380,""bus_multi"":240,""bus_monthly"":4760,""multiaxle_single"":255,""multiaxle_multi"":380,""multiaxle_monthly"":7650,""hcm_single"":340,""hcm_multi"":510,""hcm_monthly"":10200,""four_six_axle_single"":255,""four_six_axle_multi"":380,""four_six_axle_monthly"":7650,""seven_plus_axle_single"":255,""seven_plus_axle_multi"":380,""seven_plus_axle_monthly"":7650}","<b style='color:#22A7EA'>Gondhkhairi/ Kondhali</b><br/><b> </b> M/s Atlanta Infra Assets Pvt Ltd","168.00","BOT (Toll)","30-12-2010","23-09-2011","1997","05.06.2006-04.06.2026",13249,,"M/s Atlanta Infra Assets Pvt Ltd","Mr Junaid Baig / 9970070795"
"Chandimandir",149,30.738834,76.897977,159.03,"120960","01-09-2019","{""car_single"":null,""car_multi"":45,""car_monthly"":930,""lcv_single"":null,""lcv_multi"":80,""lcv_monthly"":1625,""bus_multi"":160,""bus_monthly"":3245,""multiaxle_single"":175,""multiaxle_multi"":260,""multiaxle_monthly"":5220,""hcm_single"":175,""hcm_multi"":260,""hcm_monthly"":5220,""four_six_axle_single"":175,""four_six_axle_multi"":260,""four_six_axle_monthly"":5220,""seven_plus_axle_single"":175,""seven_plus_axle_multi"":260,""seven_plus_axle_monthly"":5220}","<b style='color:#22A7EA'>Chandimandir</b><br/><b> </b> M/s Himalyan Expressway Ltd","740.00","BOT (Toll)","02-04-2012","06-04-2012","1997","01.03.2008-28.02.2028",56053,45000,"M/s Himalyan Expressway Ltd","Col(Redt) P. sharma / 9878925500"
"Dighal",150,28.776746,76.621688,218.75,"30000","01-04-2020","{""car_single"":null,""car_multi"":70,""car_monthly"":1525,""lcv_single"":null,""lcv_multi"":110,""lcv_monthly"":2465,""bus_multi"":235,""bus_monthly"":5170,""multiaxle_single"":245,""multiaxle_multi"":365,""multiaxle_monthly"":8105,""hcm_single"":245,""hcm_multi"":365,""hcm_monthly"":8105,""four_six_axle_single"":245,""four_six_axle_multi"":365,""four_six_axle_monthly"":8105,""seven_plus_axle_single"":295,""seven_plus_axle_multi"":445,""seven_plus_axle_monthly"":9865}","<b style='color:#22A7EA'>Dighal</b><br/><b> </b> M/s Kurukshera Expressway Pvt Ltd","650.00","BOT (Toll)","26-03-2013","01-09-2013","2008","10.05.2011-09.05.2039",28012,21917,"M/s Kurukshera Expressway Pvt Ltd","Mr Dinesh Bhanwala / 8059996511"
"Dhilwan",151,31.499318,75.323065,207.15,"100","01-09-2019","{""car_single"":null,""car_multi"":40,""car_monthly"":825,""lcv_single"":null,""lcv_multi"":70,""lcv_monthly"":1440,""bus_multi"":145,""bus_monthly"":2885,""multiaxle_single"":155,""multiaxle_multi"":230,""multiaxle_monthly"":4635,""hcm_single"":205,""hcm_multi"":310,""hcm_monthly"":6180,""four_six_axle_single"":155,""four_six_axle_multi"":230,""four_six_axle_monthly"":4635,""seven_plus_axle_single"":155,""seven_plus_axle_multi"":230,""seven_plus_axle_monthly"":4635}","<b style='color:#22A7EA'>Dhilwan</b><br/><b> </b> M/s Jalandhar -Amritsar Tollways Ltd","439.84","0","30-06-2009","30-04-2010","1997","29.05.2006-28.05.2026",42535,,"M/s Jalandhar -Amritsar Tollways Ltd","Sh. K. RAGHAV REDDY / 9915015341"
"Gangaycha Jatt",152,28.275006,76.613363,218.7,"30000","01-04-2020","{""car_single"":null,""car_multi"":120,""car_monthly"":2665,""lcv_single"":null,""lcv_multi"":185,""lcv_monthly"":4140,""bus_multi"":380,""bus_monthly"":8475,""multiaxle_single"":390,""multiaxle_multi"":585,""multiaxle_monthly"":12970,""hcm_single"":390,""hcm_multi"":585,""hcm_monthly"":12970,""four_six_axle_single"":390,""four_six_axle_multi"":585,""four_six_axle_monthly"":12970,""seven_plus_axle_single"":495,""seven_plus_axle_multi"":745,""seven_plus_axle_monthly"":16505}","<b style='color:#22A7EA'>Gangaycha Jatt</b><br/><b> </b> M/s Kurukshera Expressway Pvt Ltd","650.00","BOT (Toll)","26-03-2013","01-09-2013","2008","10.05.2011-09.05.2039",28119,19208,"M/s Kurukshera Expressway Pvt Ltd","Mr Gulab Singh / 8059998737"
"Nijjarpura",153,31.577704,74.997072,207.15,"100","01-09-2019","{""car_single"":null,""car_multi"":40,""car_monthly"":825,""lcv_single"":null,""lcv_multi"":70,""lcv_monthly"":1440,""bus_multi"":145,""bus_monthly"":2885,""multiaxle_single"":155,""multiaxle_multi"":230,""multiaxle_monthly"":4635,""hcm_single"":205,""hcm_multi"":310,""hcm_monthly"":6180,""four_six_axle_single"":155,""four_six_axle_multi"":230,""four_six_axle_monthly"":4635,""seven_plus_axle_single"":155,""seven_plus_axle_multi"":230,""seven_plus_axle_monthly"":4635}","<b style='color:#22A7EA'>Nijjarpura</b><br/><b> </b> M/s Jalandhar - Amritsar Tollways Ltd","439.84","BOT (Toll)","30-06-2009","30-04-2010","1997","29.05.2006-28.05.2026",14257,,"M/s Jalandhar - Amritsar Tollways Ltd","Sh.  Venu Madhav Reddy / 9988380558"
"Panipat Elevated",154,29.433664,76.97014,407.18,"190305","17-07-2019","{""car_single"":null,""car_multi"":null,""car_monthly"":null,""lcv_single"":null,""lcv_multi"":null,""lcv_monthly"":null,""bus_multi"":null,""bus_monthly"":null,""multiaxle_single"":95,""multiaxle_multi"":null,""multiaxle_monthly"":null,""hcm_single"":95,""hcm_multi"":null,""hcm_monthly"":null,""four_six_axle_single"":95,""four_six_axle_multi"":null,""four_six_axle_monthly"":null,""seven_plus_axle_single"":95,""seven_plus_axle_multi"":null,""seven_plus_axle_monthly"":null}","<b style='color:#22A7EA'>Panipat Elevated</b><br/><b> </b> M/s L&amp;T Panipat Elevated Corridor Limited","421.50","BOT (Toll)","09-07-2008","17-07-2008","1997","23.01.2006-22.01.2026",62000,63260,"M/s L&T Panipat Elevated Corridor Limited","Surjit Singh / 1806612244"
"Gharaunda (Karnal)",155,29.584373,76.978792,1181.1,"90000","01-09-2019","{""car_single"":null,""car_multi"":185,""car_monthly"":3700,""lcv_single"":null,""lcv_multi"":325,""lcv_monthly"":6475,""bus_multi"":645,""bus_monthly"":12945,""multiaxle_single"":695,""multiaxle_multi"":1040,""multiaxle_monthly"":20805,""hcm_single"":695,""hcm_multi"":1040,""hcm_monthly"":20805,""four_six_axle_single"":695,""four_six_axle_multi"":1040,""four_six_axle_monthly"":20805,""seven_plus_axle_single"":695,""seven_plus_axle_multi"":1040,""seven_plus_axle_monthly"":20805}","<b style='color:#22A7EA'>Gharaunda (Karnal)</b><br/><b> </b> M/s Panipat Jalandhar NH-1 Tollway Pvt Ltd","2747.50","BOT (Toll)","06-04-2009","24-06-2002","1997","05.11.2009-04.11.2024",71779,69443,"M/s Panipat Jalandhar NH-1 Tollway Pvt Ltd","Anil Kumar / 9992600344"
