"name","id","lat","lon","cumulative_revenue","design_capacity","fee_effective_date","rates","location","capital_cost","project_type","date_fee_notification","date_commercial_operation","fee_rule","concessions_period","traffic_per_day","target_traffic_per_day","contractor_name","contact_details"
"Thakurtola (End of Durg Bypass)",4,21.117914,81.122298,30781.84,"NA","01-09-2019","{""car_single"":null,""car_multi"":140,""car_monthly"":2775,""lcv_single"":null,""lcv_multi"":245,""lcv_monthly"":4860,""bus_multi"":485,""bus_monthly"":9720,""multiaxle_single"":520,""multiaxle_multi"":780,""multiaxle_monthly"":15625,""hcm_single"":520,""hcm_multi"":780,""hcm_monthly"":15625,""four_six_axle_single"":520,""four_six_axle_multi"":780,""four_six_axle_monthly"":15625,""seven_plus_axle_single"":520,""seven_plus_axle_multi"":780,""seven_plus_axle_monthly"":15625}","<b style='color:#22A7EA'>Thakurtola (End of Durg Bypass)</b><br/><b> </b> M/s Ashoka Highways Durg Ltd","464.00","BOT (Toll)","20-12-2011","15-02-2012","NA","1997",22246,22246,"M/s Ashoka Highways Durg Ltd","Mr Mukesh Devangan / 8889811172"
"Bankapur",5,14.90999,75.2798,263.3,"NA","25-02-2018","{""car_single"":null,""car_multi"":80,""car_monthly"":1795,""lcv_single"":null,""lcv_multi"":130,""lcv_monthly"":2905,""bus_multi"":275,""bus_monthly"":6080,""multiaxle_single"":200,""multiaxle_multi"":300,""multiaxle_monthly"":6635,""hcm_single"":285,""hcm_multi"":430,""hcm_monthly"":9540,""four_six_axle_single"":285,""four_six_axle_multi"":430,""four_six_axle_monthly"":9540,""seven_plus_axle_single"":350,""seven_plus_axle_multi"":525,""seven_plus_axle_monthly"":11610}","<b style='color:#22A7EA'>Bankapur</b><br/><b> </b> Ms Sri Sai Enterprises","317.69","Public Funded","16-07-2012","03-03-2008","2008 as amended with transition","03.01.2016-03.01.2017extended period",25077,,"Ms Sri Sai Enterprises","Shri Rajesh / 9901793636"
"Hirebagewadi",6,15.76311,74.64785,328.4,"NA","01-04-2020","{""car_single"":null,""car_multi"":140,""car_monthly"":3165,""lcv_single"":null,""lcv_multi"":230,""lcv_monthly"":5110,""bus_multi"":480,""bus_monthly"":10705,""multiaxle_single"":505,""multiaxle_multi"":755,""multiaxle_monthly"":16790,""hcm_single"":505,""hcm_multi"":755,""hcm_monthly"":16790,""four_six_axle_single"":505,""four_six_axle_multi"":755,""four_six_axle_monthly"":16790,""seven_plus_axle_single"":615,""seven_plus_axle_multi"":920,""seven_plus_axle_monthly"":20440}","<b style='color:#22A7EA'>Hirebagewadi</b><br/><b> </b> M/s Ashoka Belgaum Dharwad Tollway Ltd","996.60","BOT (Toll)","05-04-2011","07-07-2007","2008","04.05.2011-03.05.2041",27249,,"M/s Ashoka Belgaum Dharwad Tollway Ltd","Mr T. George / 8970999401"
"Durg Bypass (Dhamdanaka)",7,21.214518,81.287962,404.89,"15000","01-04-2019","{""car_single"":null,""car_multi"":null,""car_monthly"":null,""lcv_single"":null,""lcv_multi"":null,""lcv_monthly"":null,""bus_multi"":null,""bus_monthly"":null,""multiaxle_single"":275,""multiaxle_multi"":null,""multiaxle_monthly"":null,""hcm_single"":365,""hcm_multi"":null,""hcm_monthly"":null,""four_six_axle_single"":275,""four_six_axle_multi"":null,""four_six_axle_monthly"":null,""seven_plus_axle_single"":275,""seven_plus_axle_multi"":null,""seven_plus_axle_monthly"":null}","<b style='color:#22A7EA'>Durg Bypass (Dhamdanaka)</b><br/><b> </b> Ms Durg Shivnath Expressways Pvt Ltd.","123.00","BOT (Toll)","13-12-2001","15-12-2000","1997","01.04.2011-29.03.2031",20742,20742,"Ms Durg Shivnath Expressways Pvt Ltd.","Sh Hemant Kumar / 9009990182"
"Hattargi",8,16.1433,74.51696,164.5,"NA","01-04-2020","{""car_single"":null,""car_multi"":45,""car_monthly"":945,""lcv_single"":null,""lcv_multi"":70,""lcv_monthly"":1530,""bus_multi"":145,""bus_monthly"":3205,""multiaxle_single"":105,""multiaxle_multi"":155,""multiaxle_monthly"":3495,""hcm_single"":150,""hcm_multi"":225,""hcm_monthly"":5025,""four_six_axle_single"":150,""four_six_axle_multi"":225,""four_six_axle_monthly"":5025,""seven_plus_axle_single"":185,""seven_plus_axle_multi"":275,""seven_plus_axle_monthly"":6120}","<b style='color:#22A7EA'>Hattargi</b><br/><b> </b> Sh. V. Vidyasagar Reddy","559.49","Public Funded","26-10-2012","28-04-2007","2008 as amended with transition","16.01.2016-16.01.2017extended period",33898,,"Sh. V. Vidyasagar Reddy","Syed Abdul Rahman / 8618001170"
"Kognoli",9,16.5422,74.31825,282.87,"NA","01-04-2020","{""car_single"":null,""car_multi"":110,""car_monthly"":2425,""lcv_single"":null,""lcv_multi"":175,""lcv_monthly"":3915,""bus_multi"":370,""bus_monthly"":8200,""multiaxle_single"":270,""multiaxle_multi"":405,""multiaxle_monthly"":8945,""hcm_single"":385,""hcm_multi"":580,""hcm_monthly"":12860,""four_six_axle_single"":385,""four_six_axle_multi"":580,""four_six_axle_monthly"":12860,""seven_plus_axle_single"":470,""seven_plus_axle_multi"":705,""seven_plus_axle_monthly"":15655}","<b style='color:#22A7EA'>Kognoli</b><br/><b> </b> Ms Sahakar Global Ltd.","559.49","Public Funded","26-10-2012","03-05-2005","2008 as amended with transition","29.01.2016-29.01.2017extended period",44415,,"Ms Sahakar Global Ltd.","Mr B. R. Patil / 9689330854"
"Tundla",10,27.218247,78.272821,100000,"120000","01-04-2017","{""car_single"":null,""car_multi"":85,""car_monthly"":1840,""lcv_single"":null,""lcv_multi"":135,""lcv_monthly"":2970,""bus_multi"":280,""bus_monthly"":6225,""multiaxle_single"":205,""multiaxle_multi"":305,""multiaxle_monthly"":6790,""hcm_single"":295,""hcm_multi"":440,""hcm_monthly"":9760,""four_six_axle_single"":295,""four_six_axle_multi"":440,""four_six_axle_monthly"":9760,""seven_plus_axle_single"":355,""seven_plus_axle_multi"":535,""seven_plus_axle_monthly"":11885}","<b style='color:#22A7EA'>Tundla</b><br/><b> </b> M/s AE Tollways Pvt Ltd","1664.00","BOT (Toll)","07-02-2013","11-04-2009","2008 as amended","",47978,52995,"M/s AE Tollways Pvt Ltd","Mr  Tullic Thorat / 7466863822"
"Brahamarakotlu",11,12.875095,75.003849,25.57,"40000","01-04-2020","{""car_single"":null,""car_multi"":40,""car_monthly"":865,""lcv_single"":null,""lcv_multi"":65,""lcv_monthly"":1400,""bus_multi"":130,""bus_monthly"":2930,""multiaxle_single"":95,""multiaxle_multi"":145,""multiaxle_monthly"":3195,""hcm_single"":140,""hcm_multi"":205,""hcm_monthly"":4595,""four_six_axle_single"":140,""four_six_axle_multi"":205,""four_six_axle_monthly"":4595,""seven_plus_axle_single"":170,""seven_plus_axle_multi"":250,""seven_plus_axle_monthly"":5595}","<b style='color:#22A7EA'>Brahamarakotlu</b><br/><b> </b> Sh. Suresh Chandra Agarwal","181.50","Public Funded","25-06-2013","05-12-2013","2008 as amended","20.12.2016-20.12.2017",33886,,"Sh. Suresh Chandra Agarwal","Sh. Anil Kumar Shukla / 9035084878"
"Cable Stayed Naini Bridge",12,25.41629,81.861017,112.23,"NA","01-04-2019","{""car_single"":null,""car_multi"":35,""car_monthly"":730,""lcv_single"":null,""lcv_multi"":55,""lcv_monthly"":1180,""bus_multi"":110,""bus_monthly"":2475,""multiaxle_single"":80,""multiaxle_multi"":120,""multiaxle_monthly"":2700,""hcm_single"":115,""hcm_multi"":175,""hcm_monthly"":3880,""four_six_axle_single"":115,""four_six_axle_multi"":175,""four_six_axle_monthly"":3880,""seven_plus_axle_single"":140,""seven_plus_axle_multi"":210,""seven_plus_axle_monthly"":4720}","<b style='color:#22A7EA'>Cable Stayed Naini Bridge</b><br/><b> </b> Bholanath Rajpati Shukla","295.73","Public Funded","26-03-2013","15-02-2005","2008 as amended with transition","02.01.2017 - 01.01.2018",52993,44368,"Bholanath Rajpati Shukla","Sh.  Bholanath R. Shukla / 8176894354"
"Bassi",13,25.033921,74.817676,148.05,"240","01-04-2020","{""car_single"":null,""car_multi"":115,""car_monthly"":2570,""lcv_single"":null,""lcv_multi"":185,""lcv_monthly"":4150,""bus_multi"":390,""bus_monthly"":8695,""multiaxle_single"":285,""multiaxle_multi"":425,""multiaxle_monthly"":9490,""hcm_single"":410,""hcm_multi"":615,""hcm_monthly"":13640,""four_six_axle_single"":410,""four_six_axle_multi"":615,""four_six_axle_monthly"":13640,""seven_plus_axle_single"":500,""seven_plus_axle_multi"":745,""seven_plus_axle_monthly"":16605}","<b style='color:#22A7EA'>Bassi</b><br/><b> </b> Ms Sahakar Global Ltd.","NA","OMT","05-12-2008","31-03-2009","2008","01.08.2011-31.07.2017",10168,7457,"Ms Sahakar Global Ltd.","Sh.  Bhawani Singh / 7665631866"
"Aroli",14,25.09118,75.199063,148.05,"240","01-04-2020","{""car_single"":null,""car_multi"":100,""car_monthly"":2185,""lcv_single"":null,""lcv_multi"":160,""lcv_monthly"":3535,""bus_multi"":335,""bus_monthly"":7400,""multiaxle_single"":240,""multiaxle_multi"":365,""multiaxle_monthly"":8075,""hcm_single"":350,""hcm_multi"":520,""hcm_monthly"":11605,""four_six_axle_single"":350,""four_six_axle_multi"":520,""four_six_axle_monthly"":11605,""seven_plus_axle_single"":425,""seven_plus_axle_multi"":635,""seven_plus_axle_monthly"":14130}","<b style='color:#22A7EA'>Aroli</b><br/><b> </b> Ms Sahakar Global Ltd.","NA","OMT","05-12-2008","31-03-2009","2008","01.08.2011-31.07.2017",9900,7386,"Ms Sahakar Global Ltd.","Prahalad Singh / 8696915918"
"Dhaneshwar",15,25.072621,75.598467,148.05,"240","01-04-2020","{""car_single"":null,""car_multi"":95,""car_monthly"":2135,""lcv_single"":null,""lcv_multi"":155,""lcv_monthly"":3450,""bus_multi"":325,""bus_monthly"":7225,""multiaxle_single"":235,""multiaxle_multi"":355,""multiaxle_monthly"":7880,""hcm_single"":340,""hcm_multi"":510,""hcm_monthly"":11330,""four_six_axle_single"":340,""four_six_axle_multi"":510,""four_six_axle_monthly"":11330,""seven_plus_axle_single"":415,""seven_plus_axle_multi"":620,""seven_plus_axle_monthly"":13790}","<b style='color:#22A7EA'>Dhaneshwar</b><br/><b> </b> Ms Sahakar Global Ltd.","NA","OMT","05-12-2008","31-03-2009","2008","01.08.2011-31.07.2017",11617,7262,"Ms Sahakar Global Ltd.","Sh.  Jaldeep Singh / 7665431340"
"Fatehpur",16,25.122,76.572806,63.75,"NA","01-04-2020","{""car_single"":null,""car_multi"":140,""car_monthly"":3140,""lcv_single"":null,""lcv_multi"":220,""lcv_monthly"":4920,""bus_multi"":455,""bus_monthly"":10130,""multiaxle_single"":470,""multiaxle_multi"":700,""multiaxle_monthly"":15590,""hcm_single"":470,""hcm_multi"":700,""hcm_monthly"":15590,""four_six_axle_single"":470,""four_six_axle_multi"":700,""four_six_axle_monthly"":15590,""seven_plus_axle_single"":590,""seven_plus_axle_multi"":885,""seven_plus_axle_monthly"":19690}","<b style='color:#22A7EA'>Fatehpur</b><br/><b> </b> Ms Prakash Asphalting  and Toll Highways(I) Ltd.","434.63","OMT","27-06-2011","12-10-2009","2008","17.09.2011-16.09.2020",9515,7662,"Ms Prakash Asphalting  and Toll Highways(I) Ltd.","Sh.  Naresh Kumar / 8696925922"
"Simliya",17,25.170089,76.130552,63.75,"NA","01-04-2020","{""car_single"":null,""car_multi"":75,""car_monthly"":1705,""lcv_single"":null,""lcv_multi"":125,""lcv_monthly"":2750,""bus_multi"":260,""bus_monthly"":5765,""multiaxle_single"":270,""multiaxle_multi"":405,""multiaxle_monthly"":9035,""hcm_single"":270,""hcm_multi"":405,""hcm_monthly"":9035,""four_six_axle_single"":270,""four_six_axle_multi"":405,""four_six_axle_monthly"":9035,""seven_plus_axle_single"":330,""seven_plus_axle_multi"":495,""seven_plus_axle_monthly"":11000}","<b style='color:#22A7EA'>Simliya</b><br/><b> </b> Anil Kumar Shukla","359.94","OMT","27-06-2011","09-09-2009","2008","17.09.2011-16.09.2020",12970,3232,"Anil Kumar Shukla","Sh.  Dinesh Kumar Lakhara / 86969925961"
"Omallur",18,11.72034,78.07338,439.67,"NA","01-09-2019","{""car_single"":null,""car_multi"":115,""car_monthly"":2310,""lcv_single"":null,""lcv_multi"":200,""lcv_monthly"":4040,""bus_multi"":405,""bus_monthly"":8085,""multiaxle_single"":435,""multiaxle_multi"":650,""multiaxle_monthly"":12990,""hcm_single"":435,""hcm_multi"":650,""hcm_monthly"":12990,""four_six_axle_single"":435,""four_six_axle_multi"":650,""four_six_axle_monthly"":12990,""seven_plus_axle_single"":435,""seven_plus_axle_multi"":650,""seven_plus_axle_monthly"":12990}","<b style='color:#22A7EA'>Omallur</b><br/><b> </b> M/s M.V.R. Infrstructure And Tollways Pvt Ltd","307.60","BOT (Toll)","08-05-2009","06-08-2009","1997","15.08.2006-14.08.2026",54304,43889,"M/s M.V.R. Infrstructure And Tollways Pvt Ltd","Sh. K.N.Murthy / 9994949680"
"Nathakkarai",19,11.592809,78.780812,302.08,"81800","01-09-2019","{""car_single"":null,""car_multi"":75,""car_monthly"":1530,""lcv_single"":null,""lcv_multi"":135,""lcv_monthly"":2675,""bus_multi"":265,""bus_monthly"":5350,""multiaxle_single"":285,""multiaxle_multi"":430,""multiaxle_monthly"":8595,""hcm_single"":285,""hcm_multi"":430,""hcm_monthly"":8595,""four_six_axle_single"":285,""four_six_axle_multi"":430,""four_six_axle_monthly"":8595,""seven_plus_axle_single"":285,""seven_plus_axle_multi"":430,""seven_plus_axle_monthly"":8595}","<b style='color:#22A7EA'>Nathakkarai</b><br/><b> </b> M/s SU Toll Road Private Limited","941.00","BOT (Toll)","13-01-2012","28-07-2012","1997","15.01.2008-14.01.2033",25484,20530,"M/s SU Toll Road Private Limited","Sh. J.Vinothkumar / 9489503932"
"Veeracholapuram (West)",20,11.736464,79.010409,302.08,"75000","01-09-2019","{""car_single"":null,""car_multi"":75,""car_monthly"":1530,""lcv_single"":null,""lcv_multi"":135,""lcv_monthly"":2675,""bus_multi"":265,""bus_monthly"":5350,""multiaxle_single"":285,""multiaxle_multi"":430,""multiaxle_monthly"":8595,""hcm_single"":285,""hcm_multi"":430,""hcm_monthly"":8595,""four_six_axle_single"":285,""four_six_axle_multi"":430,""four_six_axle_monthly"":8595,""seven_plus_axle_single"":285,""seven_plus_axle_multi"":430,""seven_plus_axle_monthly"":8595}","<b style='color:#22A7EA'>Veeracholapuram (West)</b><br/><b> </b> M/s SU Toll Road Private Limited","941.00","BOT (Toll)","13-01-2013","28-07-2012","1997","15.01.2008-14.01.2033",36196,15383,"M/s SU Toll Road Private Limited","Sh. A.Manimaran / 9751255732"
"Palayam (Dharmapuri)",21,12.00643,78.08042,944.56,"28500","01-09-2019","{""car_single"":null,""car_multi"":145,""car_monthly"":2895,""lcv_single"":null,""lcv_multi"":255,""lcv_monthly"":5065,""bus_multi"":505,""bus_monthly"":10130,""multiaxle_single"":545,""multiaxle_multi"":815,""multiaxle_monthly"":16280,""hcm_single"":545,""hcm_multi"":815,""hcm_monthly"":16280,""four_six_axle_single"":545,""four_six_axle_multi"":815,""four_six_axle_monthly"":16280,""seven_plus_axle_single"":545,""seven_plus_axle_multi"":815,""seven_plus_axle_monthly"":16280}","<b style='color:#22A7EA'>Palayam (Dharmapuri)</b><br/><b> </b> M/s L&amp;T Krishnagiri Thopur Toll Road Limited","525.00","BOT (Toll)","14-01-2009","07-02-2009","1997","15.07.2006-14.07.2026",55726,36452,"M/s L&T Krishnagiri Thopur Toll Road Limited","Sh. R. Periyadhurai / 9500933531"
"Rasampalayan",22,11.193895,78.103219,190.26,"28000","01-09-2019","{""car_single"":null,""car_multi"":70,""car_monthly"":1390,""lcv_single"":null,""lcv_multi"":120,""lcv_monthly"":2435,""bus_multi"":245,""bus_monthly"":4875,""multiaxle_single"":260,""multiaxle_multi"":390,""multiaxle_monthly"":7830,""hcm_single"":260,""hcm_multi"":390,""hcm_monthly"":7830,""four_six_axle_single"":260,""four_six_axle_multi"":390,""four_six_axle_monthly"":7830,""seven_plus_axle_single"":260,""seven_plus_axle_multi"":390,""seven_plus_axle_monthly"":7830}","<b style='color:#22A7EA'>Rasampalayan</b><br/><b> </b> M/s NK Toll Road Ltd","351.25","BOT (Toll)","08-05-2009","24-08-2009","1997","27.07.2006-26.07.2026",23232,23725,"M/s NK Toll Road Ltd","K.S.S.V.Phani Babu / 9629699663"
"Nemili (Sriperumbudur)",23,12.982155,79.968944,227.99,"120000","01-04-2020","{""car_single"":null,""car_multi"":75,""car_monthly"":1710,""lcv_single"":null,""lcv_multi"":125,""lcv_monthly"":2760,""bus_multi"":260,""bus_monthly"":5780,""multiaxle_single"":190,""multiaxle_multi"":285,""multiaxle_monthly"":6310,""hcm_single"":270,""hcm_multi"":410,""hcm_monthly"":9070,""four_six_axle_single"":270,""four_six_axle_multi"":410,""four_six_axle_monthly"":9070,""seven_plus_axle_single"":330,""seven_plus_axle_multi"":495,""seven_plus_axle_monthly"":11040}","<b style='color:#22A7EA'>Nemili (Sriperumbudur)</b><br/><b> </b> Ms Sahakar Global Ltd.","NA","Public Funded","14-02-2013","01-07-2007","2008 as amended with transition","29.10.2016-28.01.2017extended period",91814,32019,"Ms Sahakar Global Ltd.","Mr Rajesh Godhani / 9095257159"
"Joya",24,28.836176,78.420749,247.48,"NA","01-04-2019","{""car_single"":null,""car_multi"":100,""car_monthly"":2260,""lcv_single"":null,""lcv_multi"":165,""lcv_monthly"":3645,""bus_multi"":345,""bus_monthly"":7640,""multiaxle_single"":250,""multiaxle_multi"":375,""multiaxle_monthly"":8335,""hcm_single"":360,""hcm_multi"":540,""hcm_monthly"":11985,""four_six_axle_single"":360,""four_six_axle_multi"":540,""four_six_axle_monthly"":11985,""seven_plus_axle_single"":440,""seven_plus_axle_multi"":655,""seven_plus_axle_monthly"":14590}","<b style='color:#22A7EA'>Joya</b><br/><b> </b> Ms Prakash Asphalting and Toll Highways India Ltd.","275.00","Public Funded","07-01-2013","10-07-2010","2008 as amended","23.06.2016 - 22.06.2017",36353,34318,"Ms Prakash Asphalting and Toll Highways India Ltd.","Alam Masawer / 7055585666"
"Khalghat -MP/Maharashtra Border(Sendhwa, Jamli)",25,21.75667,75.156824,524.46,"56000","01-09-2019","{""car_single"":null,""car_multi"":140,""car_monthly"":2785,""lcv_single"":null,""lcv_multi"":245,""lcv_monthly"":4875,""bus_multi"":485,""bus_monthly"":9745,""multiaxle_single"":520,""multiaxle_multi"":785,""multiaxle_monthly"":15660,""hcm_single"":520,""hcm_multi"":785,""hcm_monthly"":15660,""four_six_axle_single"":520,""four_six_axle_multi"":785,""four_six_axle_monthly"":15660,""seven_plus_axle_single"":520,""seven_plus_axle_multi"":785,""seven_plus_axle_monthly"":15660}","<b style='color:#22A7EA'>Khalghat -MP/Maharashtra Border(Sendhwa, Jamli)</b><br/><b> </b> M/s Sew Navayuga Barwani Tollways Pvt Ltd","786.39","BOT (Toll)","11-03-2011","04-04-2011","1997","04.04.11-18.11.2026",31026,26122,"M/s Sew Navayuga Barwani Tollways Pvt Ltd","Mr Gurmeet Singh / 9589325555"
"Boothakudi",26,10.64127,78.581277,308.99,"40000","01-04-2020","{""car_single"":null,""car_multi"":125,""car_monthly"":2830,""lcv_single"":null,""lcv_multi"":205,""lcv_monthly"":4570,""bus_multi"":430,""bus_monthly"":9570,""multiaxle_single"":315,""multiaxle_multi"":470,""multiaxle_monthly"":10440,""hcm_single"":450,""hcm_multi"":675,""hcm_monthly"":15010,""four_six_axle_single"":450,""four_six_axle_multi"":675,""four_six_axle_monthly"":15010,""seven_plus_axle_single"":550,""seven_plus_axle_multi"":820,""seven_plus_axle_monthly"":18270}","<b style='color:#22A7EA'>Boothakudi</b><br/><b> </b> Kalyan Toll Infrastructure Ltd.","500.31","OMT","24-05-2013","05-05-2010","2008 as amended","03.06.2013-02.06.2022",24618,15313,"Kalyan Toll Infrastructure Ltd.","Pawan Karamchandani / 7418019007"
"Chittampatti",27,9.989594,78.244086,308.99,"40000","01-04-2020","{""car_single"":null,""car_multi"":130,""car_monthly"":2885,""lcv_single"":null,""lcv_multi"":210,""lcv_monthly"":4660,""bus_multi"":440,""bus_monthly"":9765,""multiaxle_single"":320,""multiaxle_multi"":480,""multiaxle_monthly"":10650,""hcm_single"":460,""hcm_multi"":690,""hcm_monthly"":15315,""four_six_axle_single"":460,""four_six_axle_multi"":690,""four_six_axle_monthly"":15315,""seven_plus_axle_single"":560,""seven_plus_axle_multi"":840,""seven_plus_axle_monthly"":18640}","<b style='color:#22A7EA'>Chittampatti</b><br/><b> </b> Ms Sri Sai Enterprises","524.44","OMT","24-05-2013","27-03-2010","2008 as amended","03.06.2013-02.06.2022",34617,16204,"Ms Sri Sai Enterprises","Pawan Karamchandani / 7418019007"
"Banglore - Neelamangla",28,13.090749,77.400004,316.74,"50000","01-07-2019","{""car_single"":null,""car_multi"":35,""car_monthly"":670,""lcv_single"":null,""lcv_multi"":55,""lcv_monthly"":1115,""bus_multi"":115,""bus_monthly"":2290,""multiaxle_single"":125,""multiaxle_multi"":185,""multiaxle_monthly"":3685,""hcm_single"":null,""hcm_multi"":null,""hcm_monthly"":null,""four_six_axle_single"":null,""four_six_axle_multi"":null,""four_six_axle_monthly"":null,""seven_plus_axle_single"":null,""seven_plus_axle_multi"":null,""seven_plus_axle_monthly"":null}","<b style='color:#22A7EA'>Banglore - Neelamangla</b><br/><b> </b> M/s Navayuga Bengalooru Tollway Private Limited","718.59","BOT (Toll)","26-08-2010","12-12-2010","1997","05.11.2007-09.12.2027",48847,,"M/s Navayuga Bengalooru Tollway Private Limited","Anchi chowdappa / 9900020806"
"Chalageri",29,14.556778,75.728025,208.63,"40000","26-01-2018","{""car_single"":null,""car_multi"":115,""car_monthly"":2545,""lcv_single"":null,""lcv_multi"":185,""lcv_monthly"":4110,""bus_multi"":390,""bus_monthly"":8615,""multiaxle_single"":280,""multiaxle_multi"":425,""multiaxle_monthly"":9395,""hcm_single"":540,""hcm_multi"":810,""hcm_monthly"":18010,""four_six_axle_single"":405,""four_six_axle_multi"":610,""four_six_axle_monthly"":13510,""seven_plus_axle_single"":495,""seven_plus_axle_multi"":740,""seven_plus_axle_monthly"":16445}","<b style='color:#22A7EA'>Chalageri</b><br/><b> </b> Ms Inderdeep Construction Co.","484.08","Public Funded","17-04-2012","12-10-2012","2008 as amended","21.12.2016-21.12.2017",25023,71758,"Ms Inderdeep Construction Co.","Deepak M. Rajpal / 9673011057"
"Choundha",30,26.467309,78.010916,100,"NA","01-04-2019","{""car_single"":null,""car_multi"":100,""car_monthly"":2175,""lcv_single"":null,""lcv_multi"":160,""lcv_monthly"":3515,""bus_multi"":330,""bus_monthly"":7365,""multiaxle_single"":240,""multiaxle_multi"":360,""multiaxle_monthly"":8035,""hcm_single"":345,""hcm_multi"":520,""hcm_monthly"":11545,""four_six_axle_single"":345,""four_six_axle_multi"":520,""four_six_axle_monthly"":11545,""seven_plus_axle_single"":420,""seven_plus_axle_multi"":635,""seven_plus_axle_monthly"":14055}","<b style='color:#22A7EA'>Choundha</b><br/><b> </b> M/s Agra-Gwalior Pathways Pvt Ltd","134.66","OMT","14-09-2015","15-02-2006","2008 as amended","18.02.2015-17.02.2024",29310,17668,"M/s Agra-Gwalior Pathways Pvt Ltd","Dinesh  Singh Jadon / 7049917045"
"Brijghat",31,28.767149,78.110043,160.8,"60000","01-04-2019","{""car_single"":null,""car_multi"":75,""car_monthly"":1695,""lcv_single"":null,""lcv_multi"":125,""lcv_monthly"":2735,""bus_multi"":260,""bus_monthly"":5730,""multiaxle_single"":190,""multiaxle_multi"":280,""multiaxle_monthly"":6250,""hcm_single"":270,""hcm_multi"":405,""hcm_monthly"":8990,""four_six_axle_single"":270,""four_six_axle_multi"":405,""four_six_axle_monthly"":8990,""seven_plus_axle_single"":330,""seven_plus_axle_multi"":490,""seven_plus_axle_monthly"":10940}","<b style='color:#22A7EA'>Brijghat</b><br/><b> </b> Sh. Suresh Chandra Agarwal","1983.60","Public Funded","08-02-2012","22-10-2012","2008 as amended","17.01.2017 - 16.01.2018",46360,30700,"Sh. Suresh Chandra Agarwal","Yogesh Chaudhary / 7534911910"
"Usaka ( Chamari)",34,26.036608,79.577976,180.82,"NA","01-04-2020","{""car_single"":null,""car_multi"":130,""car_monthly"":2880,""lcv_single"":null,""lcv_multi"":210,""lcv_monthly"":4655,""bus_multi"":440,""bus_monthly"":9755,""multiaxle_single"":320,""multiaxle_multi"":480,""multiaxle_monthly"":10640,""hcm_single"":460,""hcm_multi"":690,""hcm_monthly"":15295,""four_six_axle_single"":460,""four_six_axle_multi"":690,""four_six_axle_monthly"":15295,""seven_plus_axle_single"":560,""seven_plus_axle_multi"":840,""seven_plus_axle_monthly"":18620}","<b style='color:#22A7EA'>Usaka ( Chamari)</b><br/><b> </b> Prakash Asphaltings and Toll Highways(India) Ltd.","465.00","Public Funded","26-02-2013","09-03-2013","2008 as amended","28.07.2016 - 28.07.2017",28557,,"Prakash Asphaltings and Toll Highways(India) Ltd.","Ashutosh Parikh / 7317089999"
"Indore Dewas  (Indore Bypass)",35,22.822692,75.938208,191.42,"6600","01-04-2019","{""car_single"":null,""car_multi"":80,""car_monthly"":1735,""lcv_single"":null,""lcv_multi"":125,""lcv_monthly"":2800,""bus_multi"":265,""bus_monthly"":5865,""multiaxle_single"":275,""multiaxle_multi"":415,""multiaxle_monthly"":9195,""hcm_single"":275,""hcm_multi"":415,""hcm_monthly"":9195,""four_six_axle_single"":275,""four_six_axle_multi"":415,""four_six_axle_monthly"":9195,""seven_plus_axle_single"":335,""seven_plus_axle_multi"":505,""seven_plus_axle_monthly"":11195}","<b style='color:#22A7EA'>Indore Dewas  (Indore Bypass)</b><br/><b> </b> M/s Indore Dewas Tollways Limited","325.00","BOT (Toll)","10-06-2011","01-09-2011","2008","01.09.2011-31.07.2036",34246,66792,"M/s Indore Dewas Tollways Limited","MrC.V.S. Ramarao / 7898987789"
"Siwaya",39,29.095601,77.710995,453.6,"NA","01-07-2019","{""car_single"":null,""car_multi"":null,""car_monthly"":null,""lcv_single"":null,""lcv_multi"":null,""lcv_monthly"":null,""bus_multi"":null,""bus_monthly"":null,""multiaxle_single"":500,""multiaxle_multi"":null,""multiaxle_monthly"":null,""hcm_single"":500,""hcm_multi"":null,""hcm_monthly"":null,""four_six_axle_single"":500,""four_six_axle_multi"":null,""four_six_axle_monthly"":null,""seven_plus_axle_single"":500,""seven_plus_axle_multi"":null,""seven_plus_axle_monthly"":null}","<b style='color:#22A7EA'>Siwaya</b><br/><b> </b> M/s Western Up Tollway Limited","359.00","BOT (Toll)","06-09-2010","25-04-2011","1997","08.03.2006-07.03.2026",39206,28138,"M/s Western Up Tollway Limited","Shreedhar Narayan / 9818863491"
"Daffi",40,25.248275,82.994017,388.9,"120000","01-04-2020","{""car_single"":null,""car_multi"":100,""car_monthly"":2195,""lcv_single"":null,""lcv_multi"":160,""lcv_monthly"":3545,""bus_multi"":335,""bus_monthly"":7425,""multiaxle_single"":350,""multiaxle_multi"":525,""multiaxle_monthly"":11645,""hcm_single"":350,""hcm_multi"":525,""hcm_monthly"":11645,""four_six_axle_single"":350,""four_six_axle_multi"":525,""four_six_axle_monthly"":11645,""seven_plus_axle_single"":425,""seven_plus_axle_multi"":640,""seven_plus_axle_monthly"":14175}","<b style='color:#22A7EA'>Daffi</b><br/><b> </b> M/s Soma Isolux Varanasi Aurangabad Tollway Pvt Ltd","2848.00","BOT (Toll)","16-06-2011","18-05-2008","2008","12.09.2011 - 11.09.2041",45468,49762,"M/s Soma Isolux Varanasi Aurangabad Tollway Pvt Ltd","Jai Raj Singh Raghuvanshi / 7309038908"
