"name","id","lat","lon","cumulative_revenue","design_capacity","fee_effective_date","rates","location","capital_cost","project_type","date_fee_notification","date_commercial_operation","fee_rule","concessions_period","traffic_per_day","target_traffic_per_day","contractor_name","contact_details"
"Aroli",14,25.09118,75.199063,148.05,"240","01-04-2021","{""car_single"":null,""car_multi"":100,""car_monthly"":2260,""lcv_single"":null,""lcv_multi"":165,""lcv_monthly"":3645,""bus_multi"":345,""bus_monthly"":7640,""multiaxle_single"":250,""multiaxle_multi"":375,""multiaxle_monthly"":8335,""hcm_single"":360,""hcm_multi"":540,""hcm_monthly"":11985,""four_six_axle_single"":360,""four_six_axle_multi"":540,""four_six_axle_monthly"":11985,""seven_plus_axle_single"":440,""seven_plus_axle_multi"":655,""seven_plus_axle_monthly"":14590}","<b style='color:#22A7EA'>Aroli</b><br/><b> </b> Ashirwad Smart Infralink Pvt. Ltd.","NA","OMT","05-12-2008","31-03-2009","2008","01.08.2011-31.07.2017",9900,7386,"Ashirwad Smart Infralink Pvt. Ltd.","Prahalad Singh / 8696915918"
"Dhaneshwar",15,25.072621,75.598467,148.05,"240","01-04-2021","{""car_single"":null,""car_multi"":100,""car_monthly"":2205,""lcv_single"":null,""lcv_multi"":160,""lcv_monthly"":3560,""bus_multi"":335,""bus_monthly"":7460,""multiaxle_single"":245,""multiaxle_multi"":365,""multiaxle_monthly"":8135,""hcm_single"":350,""hcm_multi"":525,""hcm_monthly"":11695,""four_six_axle_single"":350,""four_six_axle_multi"":525,""four_six_axle_monthly"":11695,""seven_plus_axle_single"":425,""seven_plus_axle_multi"":640,""seven_plus_axle_monthly"":14240}","<b style='color:#22A7EA'>Dhaneshwar</b><br/><b> </b> Ashirwad Smart Infralink Pvt. Ltd.","NA","OMT","05-12-2008","31-03-2009","2008","01.08.2011-31.07.2017",11617,7262,"Ashirwad Smart Infralink Pvt. Ltd.","Sh.  Jaldeep Singh / 7665431340"
"Fatehpur",16,25.122,76.572806,63.75,"NA","01-04-2021","{""car_single"":null,""car_multi"":145,""car_monthly"":3240,""lcv_single"":null,""lcv_multi"":235,""lcv_monthly"":5235,""bus_multi"":495,""bus_monthly"":10965,""multiaxle_single"":360,""multiaxle_multi"":540,""multiaxle_monthly"":11965,""hcm_single"":515,""hcm_multi"":775,""hcm_monthly"":17195,""four_six_axle_single"":515,""four_six_axle_multi"":775,""four_six_axle_monthly"":17195,""seven_plus_axle_single"":630,""seven_plus_axle_multi"":940,""seven_plus_axle_monthly"":20935}","<b style='color:#22A7EA'>Fatehpur</b><br/><b> </b> Ms Kalyan Toll Infrastructure Limited","434.63","OMT","27-06-2011","12-10-2009","2008","17.09.2011-16.09.2020",9515,7662,"Ms Kalyan Toll Infrastructure Limited","Sh.  Naresh Kumar / 8696925922"
"Simliya",17,25.170089,76.130552,63.75,"NA","01-04-2021","{""car_single"":null,""car_multi"":110,""car_monthly"":2480,""lcv_single"":null,""lcv_multi"":180,""lcv_monthly"":4005,""bus_multi"":380,""bus_monthly"":8390,""multiaxle_single"":275,""multiaxle_multi"":410,""multiaxle_monthly"":9155,""hcm_single"":395,""hcm_multi"":590,""hcm_monthly"":13155,""four_six_axle_single"":395,""four_six_axle_multi"":590,""four_six_axle_monthly"":13155,""seven_plus_axle_single"":480,""seven_plus_axle_multi"":720,""seven_plus_axle_monthly"":16020}","<b style='color:#22A7EA'>Simliya</b><br/><b> </b> Ms Kalyan Toll Infrastructure Limited","359.94","OMT","27-06-2011","09-09-2009","2008","17.09.2011-16.09.2020",12970,3232,"Ms Kalyan Toll Infrastructure Limited","Sh.  Dinesh Kumar Lakhara / 86969925961"
"Omallur",18,11.72034,78.07338,439.67,"NA","01-09-2021","{""car_single"":null,""car_multi"":125,""car_monthly"":2500,""lcv_single"":null,""lcv_multi"":220,""lcv_monthly"":4380,""bus_multi"":440,""bus_monthly"":8760,""multiaxle_single"":470,""multiaxle_multi"":705,""multiaxle_monthly"":14075,""hcm_single"":470,""hcm_multi"":705,""hcm_monthly"":14075,""four_six_axle_single"":470,""four_six_axle_multi"":705,""four_six_axle_monthly"":14075,""seven_plus_axle_single"":470,""seven_plus_axle_multi"":705,""seven_plus_axle_monthly"":14075}","<b style='color:#22A7EA'>Omallur</b><br/><b> </b> M/s M.V.R. Infrstructure And Tollways Pvt Ltd","307.60","BOT (Toll)","08-05-2009","06-08-2009","1997","15.08.2006-14.08.2026",54304,43889,"M/s M.V.R. Infrstructure And Tollways Pvt Ltd","Sh. K.N.Murthy / 9994949680"
"Nathakkarai",19,11.592809,78.780812,302.08,"81800","01-09-2021","{""car_single"":null,""car_multi"":80,""car_monthly"":1575,""lcv_single"":null,""lcv_multi"":140,""lcv_monthly"":2755,""bus_multi"":275,""bus_monthly"":5510,""multiaxle_single"":295,""multiaxle_multi"":445,""multiaxle_monthly"":8855,""hcm_single"":295,""hcm_multi"":445,""hcm_monthly"":8855,""four_six_axle_single"":295,""four_six_axle_multi"":445,""four_six_axle_monthly"":8855,""seven_plus_axle_single"":295,""seven_plus_axle_multi"":445,""seven_plus_axle_monthly"":8855}","<b style='color:#22A7EA'>Nathakkarai</b><br/><b> </b> M/s SU Toll Road Private Limited","941.00","BOT (Toll)","13-01-2012","28-07-2012","1997","15.01.2008-14.01.2033",25484,20530,"M/s SU Toll Road Private Limited","Sh. J.Vinothkumar / 9489503932"
"Veeracholapuram (West)",20,11.736464,79.010409,302.08,"75000","01-09-2021","{""car_single"":null,""car_multi"":80,""car_monthly"":1575,""lcv_single"":null,""lcv_multi"":140,""lcv_monthly"":2755,""bus_multi"":275,""bus_monthly"":5510,""multiaxle_single"":295,""multiaxle_multi"":445,""multiaxle_monthly"":8855,""hcm_single"":295,""hcm_multi"":445,""hcm_monthly"":8855,""four_six_axle_single"":295,""four_six_axle_multi"":445,""four_six_axle_monthly"":8855,""seven_plus_axle_single"":295,""seven_plus_axle_multi"":445,""seven_plus_axle_monthly"":8855}","<b style='color:#22A7EA'>Veeracholapuram (West)</b><br/><b> </b> M/s SU Toll Road Private Limited","941.00","BOT (Toll)","13-01-2013","28-07-2012","1997","15.01.2008-14.01.2033",36196,15383,"M/s SU Toll Road Private Limited","Sh. A.Manimaran / 9751255732"
"Palayam (Dharmapuri)",21,12.00643,78.08042,944.56,"28500","01-09-2021","{""car_single"":null,""car_multi"":155,""car_monthly"":3135,""lcv_single"":null,""lcv_multi"":275,""lcv_monthly"":5490,""bus_multi"":550,""bus_monthly"":10975,""multiaxle_single"":590,""multiaxle_multi"":880,""multiaxle_monthly"":17640,""hcm_single"":590,""hcm_multi"":880,""hcm_monthly"":17640,""four_six_axle_single"":590,""four_six_axle_multi"":880,""four_six_axle_monthly"":17640,""seven_plus_axle_single"":590,""seven_plus_axle_multi"":880,""seven_plus_axle_monthly"":17640}","<b style='color:#22A7EA'>Palayam (Dharmapuri)</b><br/><b> </b> M/s L&amp;T Krishnagiri Thopur Toll Road Limited","525.00","BOT (Toll)","14-01-2009","07-02-2009","1997","15.07.2006-14.07.2026",55726,36452,"M/s L&T Krishnagiri Thopur Toll Road Limited","Sh. R. Periyadhurai / 9500933531"
"Rasampalayan",22,11.193895,78.103219,190.26,"28000","01-09-2021","{""car_single"":null,""car_multi"":75,""car_monthly"":1510,""lcv_single"":null,""lcv_multi"":130,""lcv_monthly"":2640,""bus_multi"":265,""bus_monthly"":5280,""multiaxle_single"":285,""multiaxle_multi"":425,""multiaxle_monthly"":8485,""hcm_single"":285,""hcm_multi"":425,""hcm_monthly"":8485,""four_six_axle_single"":285,""four_six_axle_multi"":425,""four_six_axle_monthly"":8485,""seven_plus_axle_single"":285,""seven_plus_axle_multi"":425,""seven_plus_axle_monthly"":8485}","<b style='color:#22A7EA'>Rasampalayan</b><br/><b> </b> M/s NK Toll Road Ltd","351.25","BOT (Toll)","08-05-2009","24-08-2009","1997","27.07.2006-26.07.2026",23232,23725,"M/s NK Toll Road Ltd","K.S.S.V.Phani Babu / 9629699663"
"Nemili (Sriperumbudur)",23,12.982155,79.968944,227.99,"120000","01-04-2020","{""car_single"":null,""car_multi"":75,""car_monthly"":1710,""lcv_single"":null,""lcv_multi"":125,""lcv_monthly"":2760,""bus_multi"":260,""bus_monthly"":5780,""multiaxle_single"":190,""multiaxle_multi"":285,""multiaxle_monthly"":6310,""hcm_single"":270,""hcm_multi"":410,""hcm_monthly"":9070,""four_six_axle_single"":270,""four_six_axle_multi"":410,""four_six_axle_monthly"":9070,""seven_plus_axle_single"":330,""seven_plus_axle_multi"":495,""seven_plus_axle_monthly"":11040}","<b style='color:#22A7EA'>Nemili (Sriperumbudur)</b><br/><b> </b> Ms Sahakar Global Ltd.","NA","Public Funded","14-02-2013","01-07-2007","2008 as amended with transition","29.10.2016-28.01.2017extended period",91814,32019,"Ms Sahakar Global Ltd.","Mr Rajesh Godhani / 9095257159"
"Joya",24,28.836176,78.420749,247.48,"NA","01-04-2019","{""car_single"":null,""car_multi"":60,""car_monthly"":1295,""lcv_single"":null,""lcv_multi"":95,""lcv_monthly"":2090,""bus_multi"":195,""bus_monthly"":4380,""multiaxle_single"":145,""multiaxle_multi"":215,""multiaxle_monthly"":4780,""hcm_single"":205,""hcm_multi"":310,""hcm_monthly"":6870,""four_six_axle_single"":205,""four_six_axle_multi"":310,""four_six_axle_monthly"":6870,""seven_plus_axle_single"":250,""seven_plus_axle_multi"":375,""seven_plus_axle_monthly"":8360}","<b style='color:#22A7EA'>Joya</b><br/><b> </b> Ms Prakash Asphalting and Toll Highways India Ltd.","275.00","Public Funded","07-01-2013","10-07-2010","2008 as amended","23.06.2016 - 22.06.2017",36353,34318,"Ms Prakash Asphalting and Toll Highways India Ltd.","Alam Masawer / 7055585666"
"Khalghat -MP/Maharashtra Border(Sendhwa, Jamli)",25,21.75667,75.156824,524.46,"56000","01-09-2021","{""car_single"":null,""car_multi"":145,""car_monthly"":2870,""lcv_single"":null,""lcv_multi"":250,""lcv_monthly"":5020,""bus_multi"":500,""bus_monthly"":10035,""multiaxle_single"":540,""multiaxle_multi"":805,""multiaxle_monthly"":16130,""hcm_single"":540,""hcm_multi"":805,""hcm_monthly"":16130,""four_six_axle_single"":540,""four_six_axle_multi"":805,""four_six_axle_monthly"":16130,""seven_plus_axle_single"":540,""seven_plus_axle_multi"":805,""seven_plus_axle_monthly"":16130}","<b style='color:#22A7EA'>Khalghat -MP/Maharashtra Border(Sendhwa, Jamli)</b><br/><b> </b> M/s Sew Navayuga Barwani Tollways Pvt Ltd","786.39","BOT (Toll)","11-03-2011","04-04-2011","1997","04.04.11-18.11.2026",31026,26122,"M/s Sew Navayuga Barwani Tollways Pvt Ltd","Mr Gurmeet Singh / 9589325555"
"Boothakudi",26,10.64127,78.581277,308.99,"40000","01-04-2021","{""car_single"":null,""car_multi"":130,""car_monthly"":2920,""lcv_single"":null,""lcv_multi"":210,""lcv_monthly"":4715,""bus_multi"":445,""bus_monthly"":9880,""multiaxle_single"":325,""multiaxle_multi"":485,""multiaxle_monthly"":10780,""hcm_single"":465,""hcm_multi"":695,""hcm_monthly"":15495,""four_six_axle_single"":465,""four_six_axle_multi"":695,""four_six_axle_monthly"":15495,""seven_plus_axle_single"":565,""seven_plus_axle_multi"":850,""seven_plus_axle_monthly"":18865}","<b style='color:#22A7EA'>Boothakudi</b><br/><b> </b> Kalyan Toll Infrastructure Ltd.","500.31","OMT","24-05-2013","05-05-2010","2008 as amended","03.06.2013-02.06.2022",24618,15313,"Kalyan Toll Infrastructure Ltd.","Pawan Karamchandani / 7418019007"
"Chittampatti",27,9.989594,78.244086,308.99,"40000","01-04-2021","{""car_single"":null,""car_multi"":135,""car_monthly"":2980,""lcv_single"":null,""lcv_multi"":215,""lcv_monthly"":4810,""bus_multi"":455,""bus_monthly"":10080,""multiaxle_single"":330,""multiaxle_multi"":495,""multiaxle_monthly"":11000,""hcm_single"":475,""hcm_multi"":710,""hcm_monthly"":15810,""four_six_axle_single"":475,""four_six_axle_multi"":710,""four_six_axle_monthly"":15810,""seven_plus_axle_single"":575,""seven_plus_axle_multi"":865,""seven_plus_axle_monthly"":19245}","<b style='color:#22A7EA'>Chittampatti</b><br/><b> </b> Ms Sri Sai Enterprises","524.44","OMT","24-05-2013","27-03-2010","2008 as amended","03.06.2013-02.06.2022",34617,16204,"Ms Sri Sai Enterprises","Pawan Karamchandani / 7418019007"
"Chalageri",29,14.556778,75.728025,208.63,"40000","26-01-2018","{""car_single"":null,""car_multi"":115,""car_monthly"":2545,""lcv_single"":null,""lcv_multi"":185,""lcv_monthly"":4110,""bus_multi"":390,""bus_monthly"":8615,""multiaxle_single"":280,""multiaxle_multi"":425,""multiaxle_monthly"":9395,""hcm_single"":540,""hcm_multi"":810,""hcm_monthly"":18010,""four_six_axle_single"":405,""four_six_axle_multi"":610,""four_six_axle_monthly"":13510,""seven_plus_axle_single"":495,""seven_plus_axle_multi"":740,""seven_plus_axle_monthly"":16445}","<b style='color:#22A7EA'>Chalageri</b><br/><b> </b> Ms Inderdeep Construction Co.","484.08","Public Funded","17-04-2012","12-10-2012","2008 as amended","21.12.2016-21.12.2017",25023,71758,"Ms Inderdeep Construction Co.","Deepak M. Rajpal / 9673011057"
"Choundha",30,26.467309,78.010916,100,"NA","01-04-2021","{""car_single"":null,""car_multi"":105,""car_monthly"":2390,""lcv_single"":null,""lcv_multi"":175,""lcv_monthly"":3860,""bus_multi"":365,""bus_monthly"":8085,""multiaxle_single"":265,""multiaxle_multi"":395,""multiaxle_monthly"":8820,""hcm_single"":380,""hcm_multi"":570,""hcm_monthly"":12675,""four_six_axle_single"":380,""four_six_axle_multi"":570,""four_six_axle_monthly"":12675,""seven_plus_axle_single"":465,""seven_plus_axle_multi"":695,""seven_plus_axle_monthly"":15435}","<b style='color:#22A7EA'>Choundha</b><br/><b> </b> M/s Agra-Gwalior Pathways Pvt Ltd","134.66","OMT","14-09-2015","15-02-2006","2008 as amended","18.02.2015-17.02.2024",29310,17668,"M/s Agra-Gwalior Pathways Pvt Ltd","Dinesh  Singh Jadon / 7049917045"
"Brijghat",31,28.767149,78.110043,160.8,"60000","01-04-2019","{""car_single"":null,""car_multi"":85,""car_monthly"":1905,""lcv_single"":null,""lcv_multi"":140,""lcv_monthly"":3080,""bus_multi"":290,""bus_monthly"":6450,""multiaxle_single"":210,""multiaxle_multi"":315,""multiaxle_monthly"":7035,""hcm_single"":305,""hcm_multi"":455,""hcm_monthly"":10115,""four_six_axle_single"":305,""four_six_axle_multi"":455,""four_six_axle_monthly"":10115,""seven_plus_axle_single"":370,""seven_plus_axle_multi"":555,""seven_plus_axle_monthly"":12310}","<b style='color:#22A7EA'>Brijghat</b><br/><b> </b> Sh. Suresh Chandra Agarwal","1983.60","Public Funded","08-02-2012","22-10-2012","2008 as amended","17.01.2017 - 16.01.2018",46360,30700,"Sh. Suresh Chandra Agarwal","Yogesh Chaudhary / 7534911910"
"Usaka ( Chamari)",34,26.036608,79.577976,180.82,"NA","01-04-2021","{""car_single"":null,""car_multi"":135,""car_monthly"":2975,""lcv_single"":null,""lcv_multi"":215,""lcv_monthly"":4805,""bus_multi"":455,""bus_monthly"":10070,""multiaxle_single"":330,""multiaxle_multi"":495,""multiaxle_monthly"":10985,""hcm_single"":475,""hcm_multi"":710,""hcm_monthly"":15790,""four_six_axle_single"":475,""four_six_axle_multi"":710,""four_six_axle_monthly"":15790,""seven_plus_axle_single"":575,""seven_plus_axle_multi"":865,""seven_plus_axle_monthly"":19225}","<b style='color:#22A7EA'>Usaka ( Chamari)</b><br/><b> </b> Prakash Asphaltings and Toll Highways(India) Ltd.","465.00","Public Funded","26-02-2013","09-03-2013","2008 as amended","28.07.2016 - 28.07.2017",28557,,"Prakash Asphaltings and Toll Highways(India) Ltd.","Ashutosh Parikh / 7317089999"
"Indore Dewas  (Indore Bypass)",35,22.822692,75.938208,191.42,"6600","01-04-2021","{""car_single"":null,""car_multi"":85,""car_monthly"":1855,""lcv_single"":null,""lcv_multi"":135,""lcv_monthly"":2995,""bus_multi"":285,""bus_monthly"":6280,""multiaxle_single"":295,""multiaxle_multi"":445,""multiaxle_monthly"":9850,""hcm_single"":295,""hcm_multi"":445,""hcm_monthly"":9850,""four_six_axle_single"":295,""four_six_axle_multi"":445,""four_six_axle_monthly"":9850,""seven_plus_axle_single"":360,""seven_plus_axle_multi"":540,""seven_plus_axle_monthly"":11990}","<b style='color:#22A7EA'>Indore Dewas  (Indore Bypass)</b><br/><b> </b> M/s Indore Dewas Tollways Limited","325.00","BOT (Toll)","10-06-2011","01-09-2011","2008","01.09.2011-31.07.2036",34246,66792,"M/s Indore Dewas Tollways Limited","MrC.V.S. Ramarao / 7898987789"
"Siwaya",39,29.095601,77.710995,453.6,"85","01-07-2021","{""car_single"":null,""car_multi"":null,""car_monthly"":null,""lcv_single"":null,""lcv_multi"":null,""lcv_monthly"":null,""bus_multi"":null,""bus_monthly"":null,""multiaxle_single"":540,""multiaxle_multi"":null,""multiaxle_monthly"":null,""hcm_single"":540,""hcm_multi"":null,""hcm_monthly"":null,""four_six_axle_single"":540,""four_six_axle_multi"":null,""four_six_axle_monthly"":null,""seven_plus_axle_single"":540,""seven_plus_axle_multi"":null,""seven_plus_axle_monthly"":null}","<b style='color:#22A7EA'>Siwaya</b><br/><b> </b> M/s Western Up Tollway Limited","359.00","BOT (Toll)","06-09-2010","25-04-2011","1997","20",39206,28138,"M/s Western Up Tollway Limited","Mr. Pardeep Choudhary / 7691995986"
"Daffi",40,25.248275,82.994017,388.9,"120000","01-04-2021","{""car_single"":null,""car_multi"":100,""car_monthly"":2265,""lcv_single"":null,""lcv_multi"":165,""lcv_monthly"":3660,""bus_multi"":345,""bus_monthly"":7665,""multiaxle_single"":360,""multiaxle_multi"":540,""multiaxle_monthly"":12025,""hcm_single"":360,""hcm_multi"":540,""hcm_monthly"":12025,""four_six_axle_single"":360,""four_six_axle_multi"":540,""four_six_axle_monthly"":12025,""seven_plus_axle_single"":440,""seven_plus_axle_multi"":660,""seven_plus_axle_monthly"":14640}","<b style='color:#22A7EA'>Daffi</b><br/><b> </b> M/s Soma Isolux Varanasi Aurangabad Tollway Pvt Ltd","2848.00","BOT (Toll)","16-06-2011","18-05-2008","2008","12.09.2011 - 11.09.2041",45468,49762,"M/s Soma Isolux Varanasi Aurangabad Tollway Pvt Ltd","Jai Raj Singh Raghuvanshi / 7309038908"
