"name","id","lat","lon","cumulative_revenue","design_capacity","fee_effective_date","rates","location","capital_cost","project_type","date_fee_notification","date_commercial_operation","fee_rule","concessions_period","traffic_per_day","target_traffic_per_day","contractor_name","contact_details"
"Thakurtola (End of Durg Bypass)",4,21.117914,81.122298,30781.84,"NA","01-09-2021","{""car_single"":null,""car_multi"":145,""car_monthly"":2860,""lcv_single"":null,""lcv_multi"":250,""lcv_monthly"":5005,""bus_multi"":500,""bus_monthly"":10010,""multiaxle_single"":535,""multiaxle_multi"":805,""multiaxle_monthly"":16090,""hcm_single"":535,""hcm_multi"":805,""hcm_monthly"":16090,""four_six_axle_single"":535,""four_six_axle_multi"":805,""four_six_axle_monthly"":16090,""seven_plus_axle_single"":535,""seven_plus_axle_multi"":805,""seven_plus_axle_monthly"":16090}","<b style='color:#22A7EA'>Thakurtola (End of Durg Bypass)</b><br/><b> </b> M/s Ashoka Highways Durg Ltd","464.00","BOT (Toll)","20-12-2011","15-02-2012","NA","1997",22246,22246,"M/s Ashoka Highways Durg Ltd","Mr Mukesh Devangan / 8889811172"
"Bankapur",5,14.90999,75.2798,263.3,"NA","25-02-2018","{""car_single"":null,""car_multi"":80,""car_monthly"":1795,""lcv_single"":null,""lcv_multi"":130,""lcv_monthly"":2905,""bus_multi"":275,""bus_monthly"":6080,""multiaxle_single"":200,""multiaxle_multi"":300,""multiaxle_monthly"":6635,""hcm_single"":285,""hcm_multi"":430,""hcm_monthly"":9540,""four_six_axle_single"":285,""four_six_axle_multi"":430,""four_six_axle_monthly"":9540,""seven_plus_axle_single"":350,""seven_plus_axle_multi"":525,""seven_plus_axle_monthly"":11610}","<b style='color:#22A7EA'>Bankapur</b><br/><b> </b> Ms Sri Sai Enterprises","317.69","Public Funded","16-07-2012","03-03-2008","2008 as amended with transition","03.01.2016-03.01.2017extended period",25077,,"Ms Sri Sai Enterprises","Shri Rajesh / 9901793636"
"Hirebagewadi",6,15.76311,74.64785,328.4,"NA","01-04-2021","{""car_single"":null,""car_multi"":145,""car_monthly"":3270,""lcv_single"":null,""lcv_multi"":240,""lcv_monthly"":5280,""bus_multi"":500,""bus_monthly"":11065,""multiaxle_single"":520,""multiaxle_multi"":780,""multiaxle_monthly"":17350,""hcm_single"":520,""hcm_multi"":780,""hcm_monthly"":17350,""four_six_axle_single"":520,""four_six_axle_multi"":780,""four_six_axle_monthly"":17350,""seven_plus_axle_single"":635,""seven_plus_axle_multi"":950,""seven_plus_axle_monthly"":21120}","<b style='color:#22A7EA'>Hirebagewadi</b><br/><b> </b> M/s Ashoka Belgaum Dharwad Tollway Ltd","996.60","BOT (Toll)","05-04-2011","07-07-2007","2008","04.05.2011-03.05.2041",27249,,"M/s Ashoka Belgaum Dharwad Tollway Ltd","Mr T. George / 8970999401"
"Durg Bypass (Dhamdanaka)",7,21.214518,81.287962,404.89,"15000","01-04-2021","{""car_single"":null,""car_multi"":null,""car_monthly"":null,""lcv_single"":null,""lcv_multi"":null,""lcv_monthly"":null,""bus_multi"":null,""bus_monthly"":null,""multiaxle_single"":280,""multiaxle_multi"":null,""multiaxle_monthly"":null,""hcm_single"":375,""hcm_multi"":null,""hcm_monthly"":null,""four_six_axle_single"":280,""four_six_axle_multi"":null,""four_six_axle_monthly"":null,""seven_plus_axle_single"":280,""seven_plus_axle_multi"":null,""seven_plus_axle_monthly"":null}","<b style='color:#22A7EA'>Durg Bypass (Dhamdanaka)</b><br/><b> </b> Ms Durg Shivnath Expressways Pvt Ltd.","123.00","BOT (Toll)","13-12-2001","15-12-2000","1997","01.04.2011-29.03.2031",20742,20742,"Ms Durg Shivnath Expressways Pvt Ltd.","Sh Hemant Kumar / 9009990182"
"Hattargi",8,16.1433,74.51696,164.5,"NA","01-04-2021","{""car_single"":null,""car_multi"":45,""car_monthly"":980,""lcv_single"":null,""lcv_multi"":70,""lcv_monthly"":1580,""bus_multi"":150,""bus_monthly"":3310,""multiaxle_single"":110,""multiaxle_multi"":160,""multiaxle_monthly"":3610,""hcm_single"":155,""hcm_multi"":235,""hcm_monthly"":5190,""four_six_axle_single"":155,""four_six_axle_multi"":235,""four_six_axle_monthly"":5190,""seven_plus_axle_single"":190,""seven_plus_axle_multi"":285,""seven_plus_axle_monthly"":6315}","<b style='color:#22A7EA'>Hattargi</b><br/><b> </b> Sh. V. Vidyasagar Reddy","559.49","Public Funded","26-10-2012","28-04-2007","2008 as amended with transition","16.01.2016-16.01.2017extended period",33898,,"Sh. V. Vidyasagar Reddy","Syed Abdul Rahman / 8618001170"
"Kognoli",9,16.5422,74.31825,282.87,"NA","01-04-2021","{""car_single"":null,""car_multi"":115,""car_monthly"":2500,""lcv_single"":null,""lcv_multi"":180,""lcv_monthly"":4040,""bus_multi"":380,""bus_monthly"":8465,""multiaxle_single"":275,""multiaxle_multi"":415,""multiaxle_monthly"":9235,""hcm_single"":400,""hcm_multi"":595,""hcm_monthly"":13275,""four_six_axle_single"":400,""four_six_axle_multi"":595,""four_six_axle_monthly"":13275,""seven_plus_axle_single"":485,""seven_plus_axle_multi"":725,""seven_plus_axle_monthly"":16165}","<b style='color:#22A7EA'>Kognoli</b><br/><b> </b> Ms Sahakar Global Ltd.","559.49","Public Funded","26-10-2012","03-05-2005","2008 as amended with transition","29.01.2016-29.01.2017extended period",44415,,"Ms Sahakar Global Ltd.","Mr B. R. Patil / 9689330854"
"Tundla",10,27.218247,78.272821,100000,"120000","01-04-2021","{""car_single"":null,""car_multi"":135,""car_monthly"":3015,""lcv_single"":null,""lcv_multi"":220,""lcv_monthly"":4870,""bus_multi"":460,""bus_monthly"":10205,""multiaxle_single"":335,""multiaxle_multi"":500,""multiaxle_monthly"":11130,""hcm_single"":480,""hcm_multi"":720,""hcm_monthly"":16000,""four_six_axle_single"":480,""four_six_axle_multi"":720,""four_six_axle_monthly"":16000,""seven_plus_axle_single"":585,""seven_plus_axle_multi"":870,""seven_plus_axle_monthly"":19480}","<b style='color:#22A7EA'>Tundla</b><br/><b> </b> M/s AE Tollways Pvt Ltd","1664.00","BOT (Toll)","03-02-2016","11-04-2009","2008 as amended","",47978,52995,"M/s AE Tollways Pvt Ltd","Mr  Tullic Thorat / 7466863822"
"Brahamarakotlu",11,12.875095,75.003849,25.57,"40000","01-04-2021","{""car_single"":null,""car_multi"":40,""car_monthly"":895,""lcv_single"":null,""lcv_multi"":65,""lcv_monthly"":1445,""bus_multi"":135,""bus_monthly"":3025,""multiaxle_single"":100,""multiaxle_multi"":150,""multiaxle_monthly"":3300,""hcm_single"":140,""hcm_multi"":215,""hcm_monthly"":4745,""four_six_axle_single"":140,""four_six_axle_multi"":215,""four_six_axle_monthly"":4745,""seven_plus_axle_single"":175,""seven_plus_axle_multi"":260,""seven_plus_axle_monthly"":5775}","<b style='color:#22A7EA'>Brahamarakotlu</b><br/><b> </b> Sh. Suresh Chandra Agarwal","181.50","Public Funded","25-06-2013","05-12-2013","2008 as amended","20.12.2016-20.12.2017",33886,,"Sh. Suresh Chandra Agarwal","Sh. Anil Kumar Shukla / 9035084878"
"Cable Stayed Naini Bridge",12,25.41629,81.861017,112.23,"NA","01-04-2021","{""car_single"":null,""car_multi"":35,""car_monthly"":785,""lcv_single"":null,""lcv_multi"":55,""lcv_monthly"":1265,""bus_multi"":120,""bus_monthly"":2650,""multiaxle_single"":85,""multiaxle_multi"":130,""multiaxle_monthly"":2890,""hcm_single"":125,""hcm_multi"":185,""hcm_monthly"":4155,""four_six_axle_single"":125,""four_six_axle_multi"":185,""four_six_axle_monthly"":4155,""seven_plus_axle_single"":150,""seven_plus_axle_multi"":230,""seven_plus_axle_monthly"":5055}","<b style='color:#22A7EA'>Cable Stayed Naini Bridge</b><br/><b> </b> Bholanath Rajpati Shukla","295.73","Public Funded","26-03-2013","15-02-2005","2008 as amended with transition","02.01.2017 - 01.01.2018",52993,44368,"Bholanath Rajpati Shukla","Sh.  Bholanath R. Shukla / 8176894354"
"Bassi",13,25.033921,74.817676,148.05,"240","01-04-2021","{""car_single"":null,""car_multi"":120,""car_monthly"":2655,""lcv_single"":null,""lcv_multi"":195,""lcv_monthly"":4285,""bus_multi"":405,""bus_monthly"":8980,""multiaxle_single"":295,""multiaxle_multi"":440,""multiaxle_monthly"":9795,""hcm_single"":420,""hcm_multi"":635,""hcm_monthly"":14080,""four_six_axle_single"":420,""four_six_axle_multi"":635,""four_six_axle_monthly"":14080,""seven_plus_axle_single"":515,""seven_plus_axle_multi"":770,""seven_plus_axle_monthly"":17145}","<b style='color:#22A7EA'>Bassi</b><br/><b> </b> Ashirwad Smart Infralink Pvt. Ltd.","NA","OMT","05-12-2008","31-03-2009","2008","01.08.2011-31.07.2017",10168,7457,"Ashirwad Smart Infralink Pvt. Ltd.","Sh.  Bhawani Singh / 7665631866"
